"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","home_team_parent_org","away_team_parent_org"
"FF",2024-03-31,91.8,-1.79,5.83,"Estes, Joey",545341,683155,"","foul",NA,NA,NA,NA,7,"Randal Grichuk called out on strikes.","R","R","R","LV","RNO","S",NA,"",1,0,2024,-1.03,1.11,-0.65,2.04,678489,NA,NA,2,4,"Top",NA,NA,NA,NA,691016,NA,NA,5.07963503436668,-133.584884212019,-6.18579323471462,-13.3761700607134,25.7652871025761,-17.7049458963084,3.3,1.67,96,111.1,4,91.7,2211,6,751961,683155,691016,669722,669137,672478,691777,670860,663662,680474,54.52,NA,NA,NA,NA,NA,NA,NA,31,2,"4-Seam Fastball",0,5,5,0,5,0,5,0,"Standard","Standard",218,0,-0.084,NA,NA,"Oakland Athletics","Arizona Diamondbacks"
"SL",2024-03-31,81.6,-0.89,6.51,"Elder, Bryce",641505,693821,"","called_strike",NA,NA,NA,NA,8,"Jonathan Davis strikes out swinging.","R","R","R","JAX","GWN","S",NA,"",3,1,2024,0.05,-0.16,0.05,1.73,NA,NA,NA,2,6,"Bot",NA,NA,NA,NA,592205,NA,NA,2.0232816214137,-118.893137087844,-3.8857329540376,0.121640404943372,21.6882266325634,-33.2155159933738,3.02,1.53,NA,NA,NA,81.3,NA,5.9,753091,693821,592205,595943,664058,664670,623205,544725,679881,621450,54.6,NA,NA,NA,NA,NA,NA,NA,49,5,"Slider",0,5,0,5,5,0,0,5,"Standard","Standard",NA,0,-0.036,NA,NA,"Miami Marlins","Atlanta Braves"
"FC",2024-03-31,87.7,-2.3,6.42,"Buchanan, David",686765,571527,"single","hit_into_play",NA,NA,NA,NA,6,"Nick Sogard singles on a soft fly ball to left fielder David Dahl.   Dalton Guthrie scores.","R","L","R","LHV","WOR","X",7,"fly_ball",1,1,2024,0.56,0.32,0.4,2.62,656495,NA,NA,2,4,"Top",91.08,117.06,NA,NA,605244,NA,NA,5.31076646947932,-127.498618413461,-3.63430928407925,4.85487768673605,29.5968880506168,-28.0788183155115,3.25,1.64,224,71.8,37,86.6,2305,5.9,753015,571527,605244,669742,665019,674951,664068,621311,670276,656669,54.56,0.437,0.408,0.9,1,1,0,3,30,3,"Cutter",2,2,2,2,3,2,3,2,"Standard","Standard",181,-0.116,0.879,NA,NA,"Philadelphia Phillies","Boston Red Sox"
"CH",2024-03-31,86.9,-1.21,5.6,"Hoffmann, Andrew",670237,694851,"","called_strike",NA,NA,NA,NA,9,"Jake Slaughter called out on strikes.","R","R","R","OMA","IOW","S",NA,"",0,1,2024,-0.67,0.55,0.54,2.15,NA,NA,NA,2,5,"Top",NA,NA,NA,NA,682515,NA,NA,5.60123687490896,-126.468045296435,-3.26982758816419,-8.26561220517856,24.0554483678037,-25.8605447399185,3.27,1.65,NA,NA,NA,88,1541,6.8,752640,694851,682515,668472,686475,680769,687478,670231,671221,694355,53.67,NA,NA,NA,NA,NA,NA,NA,34,2,"Changeup",0,2,2,0,2,0,2,0,"Standard","Standard",231,0,-0.026,NA,NA,"Kansas City Royals","Chicago Cubs"
"SI",2024-03-31,93.5,-0.86,5.98,"Priester, Quinn",674441,682990,"","ball",NA,NA,NA,NA,11,"Bats challenged (pitch result), call on the field was overturned: Jacob Hurtubise walks.","R","L","R","LOU","IND","B",NA,"",1,2,2024,-0.89,0.39,-1.44,3.27,NA,NA,NA,2,6,"Bot",NA,NA,NA,NA,670190,NA,NA,0.498664494783396,-136.266401979442,-2.13919608077567,-11.2557329516236,29.80821124256,-27.0475097611872,3.14,1.59,NA,NA,NA,93.7,2060,6.3,752938,682990,670190,682650,678894,642727,693304,640460,665482,641943,54.18,NA,NA,NA,NA,NA,NA,NA,45,4,"Sinker",0,3,0,3,3,0,0,3,"Standard","Standard",220,0,0.02,NA,NA,"Cincinnati Reds","Pittsburgh Pirates"
"CH",2024-03-31,84.8,-1.65,5.5,"Daniel, Davis",665998,669721,"single","hit_into_play",NA,NA,NA,NA,1,"Ismael Munguia singles on a line drive to right fielder Jordyn Adams.","R","L","R","SAC","SL","X",9,"line_drive",0,1,2024,-1.54,0.95,-0.39,2.78,NA,NA,NA,1,6,"Bot",175.98,129.17,NA,NA,595453,NA,NA,6.05779141591789,-123.338681595566,-1.91967535830484,-16.9606969295012,24.283461106022,-22.3156246128881,3,1.52,150,88.5,11,85.2,1844,6.6,751669,669721,595453,800685,670869,641779,605346,641531,669326,677941,53.94,0.617,0.555,0.9,1,1,0,4,41,2,"Changeup",0,0,0,0,0,0,0,0,"Standard","Standard",227,0.047,0.329,NA,NA,"San Francisco Giants","Los Angeles Angels"
"CH",2024-03-31,87.2,3.49,5.71,"Lodolo, Nick",640460,666157,"","foul",NA,NA,NA,NA,9,"Dustin Peterson walks.   Carter Bins to 2nd.","R","R","L","LOU","IND","S",NA,"",3,2,2024,1.45,0.14,0.36,1.99,NA,NA,670190,1,5,"Top",NA,NA,NA,NA,642851,NA,NA,-10.5214489715452,-126.56239233964,-3.06926162577156,17.6834440787211,24.7157136184974,-30.2645908077167,3.26,1.65,2,74.8,-47,87.5,1986,6.5,752938,666157,642851,685127,688005,541650,570481,674441,694362,677956,54,NA,NA,NA,NA,NA,NA,NA,31,8,"Changeup",0,1,1,0,1,0,1,0,"Standard","Standard",108,0,0,NA,NA,"Cincinnati Reds","Pittsburgh Pirates"
"CH",2024-03-31,88.6,-2.28,6.21,"Rutledge, Jackson",687551,671131,"","ball",NA,NA,NA,NA,13,"Drew Gilbert strikes out swinging.","R","L","R","SYR","ROC","B",NA,"",1,1,2024,-1.17,0.49,-0.05,0.68,NA,578428,676625,1,5,"Bot",NA,NA,NA,NA,686251,NA,NA,7.84592556475337,-128.721158812284,-8.50102137881762,-14.5489264451162,24.0383909553615,-25.2217457018828,3.06,1.54,NA,NA,NA,88.7,1960,6.2,752338,671131,686251,660766,671117,666906,686639,695578,696285,663905,54.26,NA,NA,NA,NA,NA,NA,NA,44,3,"Changeup",1,5,1,5,5,1,1,5,"Standard","Standard",235,0,0.114,NA,NA,"New York Mets","Washington Nationals"
"FF",2024-03-31,93,-0.7,6.03,"Myers, Tobias",668723,668964,"","ball",NA,NA,NA,NA,11,"Ryan Vilade walks.","R","R","R","TOL","NAS","B",NA,"",2,2,2024,-0.27,1.54,-0.56,4.17,NA,NA,NA,0,5,"Bot",NA,NA,NA,NA,685277,NA,NA,0.941629041365065,-135.416914642966,-2.32485567679692,-3.4992293130109,32.695183032279,-13.0730418183946,3.3,1.67,NA,NA,NA,92.9,2000,6.4,752265,668964,685277,680911,686555,657562,681962,676896,686894,676551,54.09,NA,NA,NA,NA,NA,NA,NA,43,7,"4-Seam Fastball",0,6,0,6,6,0,0,6,"Standard","Standard",190,0,0.123,NA,NA,"Detroit Tigers","Milwaukee Brewers"
"SL",2024-03-31,79.3,1.98,6.02,"Carpenter, Ryan",687597,543001,"","foul",NA,NA,NA,NA,7,"Jordan Beck triples (1) on a sharp line drive to center fielder Tim Locastro.","R","R","L","ABQ","ELP","S",NA,"",1,2,2024,-0.81,-0.24,-0.5,1.85,NA,NA,NA,2,5,"Bot",NA,NA,NA,NA,608700,NA,NA,-3.92836893224029,-115.692575715957,-2.08856400648549,-6.77681943534388,17.0363547767405,-34.1787690618416,3.29,1.66,NA,NA,NA,80.2,2759,6.3,752117,543001,608700,664954,676946,687867,669200,672359,641796,668751,54.17,NA,NA,NA,NA,NA,NA,NA,44,6,"Slider",3,3,3,3,3,3,3,3,"Standard","Standard",294,0,0,NA,NA,"Colorado Rockies","San Diego Padres"
